name,number,airDate,overview,poster,serie,serieId
Season 4,4,1992-09-24,"The Simpsons' fourth season originally aired on the Fox network between September 24, 1992 and May 13, 1993, beginning with ""Kamp Krusty."" The showrunners for the fourth production season were Al Jean and Mike Reiss. The aired season contained two episodes which were hold-over episodes from season three, which Jean and Reiss also ran. Following the end of the production of the season, Jean, Reiss and most of the original writing staff left the show. The season was nominated for two Primetime Emmy Awards and Dan Castellaneta would win one for his performance as Homer in ""Mr. Plow"". The fourth season was released on DVD in Region 1 on June 15, 2004, Region 2 on August 2, 2004 and in Region 4 on August 25, 2004.",eraNNGEdCn29cTyzjwfBgBdTetF.jpg,The Simpsons,18
Season 5,5,1993-09-30,"The Simpsons' fifth season originally aired on the Fox network between September 30, 1993 and May 19, 1994. The showrunner for the fifth production season was David Mirkin who executive produced 20 episodes. Al Jean and Mike Reiss executive produced the remaining two, which were both hold overs that were produced for the previous season. The season contains some of the series' most acclaimed episodes, including ""Cape Feare"" and ""Rosebud"". It also includes the 100th episode, ""Sweet Seymour Skinner's Baadasssss Song"". The season was nominated for two Primetime Emmy Awards and won an Annie Award for Best Animated Television Program as well as an Environmental Media Award and a Genesis Award. The DVD box set was released in Region 1 on December 21, 2004, Region 2 on March 21, 2005, and Region 4 on March 23, 2005.",sTIcXTOctWM3YxEfj1MtViW2E11.jpg,The Simpsons,18
Season 6,6,1994-09-04,"The Simpsons' sixth season originally aired on the Fox network between September 4, 1994, and May 21, 1995, and consists of 25 episodes. The Simpsons is an animated series about a working class family, which consists of Homer, Marge, Bart, Lisa, and Maggie. The show is set in the fictional city of Springfield, and lampoons American culture, society, television and many aspects of the human condition.\n\nThe showrunner for the sixth production season was David Mirkin who executive-produced 23 episodes. Former showrunners Al Jean and Mike Reiss produced the remaining two; they produced the two episodes with the staff of The Critic, the show they left The Simpsons to create. This was done in order to relieve some of the stress The Simpsons' writing staff endured, as they felt that producing 25 in one season was too much. The episode ""A Star Is Burns"" caused some controversy among the staff with Matt Groening removing his name from the episode's credits as he saw it as blatant advertising for The Critic, which was airing at the time. Fox moved The Simpsons back to its original Sunday night time, having aired on Thursdays for the previous four seasons. It has remained in this slot ever since. The sixth season won one Primetime Emmy Award, and received three additional nominations. It also won the Annie Award for Best Animated Television Production.",dJS8Xpp14LHHxuF22Vcm5XDm1wE.jpg,The Simpsons,18
Season 7,7,1995-09-17,"The Simpsons' seventh season originally aired on the Fox network between September 17, 1995 and May 19, 1996. The show runners for the seventh production season were Bill Oakley and Josh Weinstein who would executive produce 21 episodes this season. David Mirkin executive produced the remaining four, including two hold overs that were produced for the previous season. The season was nominated for two Primetime Emmy Awards, including Outstanding Animated Program and won an Annie Award for Best Animated Television Program. The DVD box set was released in Region 1 December 13, 2005, Region 2 January 30, 2006 and Region 4 on March 22, 2006. The set was released in two different forms: a Marge-shaped box and also a standard rectangular-shaped box in which the theme is a movie premiere.",wzCXbdklRedEihsCVASmeDs49ml.jpg,The Simpsons,18
Season 8,8,1996-10-27,"The Simpsons' eighth season originally aired between October 27, 1996 and May 18, 1997, beginning with ""Treehouse of Horror VII"". The showrunners for the eighth production season were Bill Oakley and Josh Weinstein. The aired season contained two episodes which were hold-over episodes from season seven, which Oakley and Weinstein also ran. It also contained two episodes for which Al Jean and Mike Reiss were the show runners.\n\nSeason eight won multiple awards, including two Emmy Awards: ""Homer's Phobia"" won for Outstanding Animated Program in 1997, and Alf Clausen and Ken Keeler won for ""Outstanding Individual Achievement in Music and Lyrics"" with the song ""We Put The Spring In Springfield"" from the episode ""Bart After Dark"". Clausen also received an Emmy nomination for ""Outstanding Music Direction"" for ""Simpsoncalifragilisticexpialacious"". ""Brother from Another Series"" was nominated for the Emmy for ""Sound Mixing For a Comedy Series or a Special"". For ""Homer's Phobia"", Mike Anderson won the Annie Award for Best Individual Achievement: Directing in a TV Production, and the WAC Winner Best Director for Primetime Series at the 1998 World Animation Celebration. Gay & Lesbian Alliance Against Defamation awarded the episode the GLAAD Media Award for ""Outstanding TV – Individual Episode"".",fOygI0yr07mjlqqVNvWLI1tYXoW.jpg,The Simpsons,18
Season 9,9,1997-09-21,"The Simpsons' ninth season originally aired between September 1997 and May 1998, beginning on Sunday, September 21, 1997 with ""The City of New York vs. Homer Simpson"". The showrunner for the ninth production season was Mike Scully. The aired season contained three episodes which were hold-over episodes from season eight, which Bill Oakley and Josh Weinstein ran. It also contained two episodes which were run by David Mirkin, and another two hold-over episodes from season seven which were run by Al Jean and Mike Reiss.\n\nSeason nine won three Emmy Awards: ""Trash of the Titans"" for Primetime Emmy Award for Outstanding Animated Program in 1998, Hank Azaria picked up ""Outstanding Voice-Over Performance"" for the voice of Apu Nahasapeemapetilon, and Alf Clausen and Ken Keeler picking up the ""Outstanding Music and Lyrics"" award. Clausen was also nominated for ""Outstanding Music Direction"" and ""Outstanding Music Composition for a Series"" for ""Treehouse of Horror VIII"". Season nine was also nominated for a ""Best Network Television Series"" award by the Saturn Awards and ""Best Sound Editing"" for a Golden Reel Award.",cjZ0HnuMVi8SOTA0L2JnHbFZKms.jpg,The Simpsons,18
Season 10,10,1998-08-23,"The tenth season of the animated television series The Simpsons was originally broadcast on the Fox network in the United States between August 23, 1998 and May 16, 1999. It contains twenty-three episodes, starting with ""Lard of the Dance"". The Simpsons is a satire of a middle class American lifestyle epitomized by its family of the same name, which consists of Homer, Marge, Bart, Lisa and Maggie. Set in the fictional city of Springfield, the show lampoons American culture, society, television, and many aspects of the human condition.\n\nThe showrunner for the tenth season was Mike Scully. Before production began, a salary dispute between the main cast members of The Simpsons and Fox arose. However, it was soon settled and the actors' salaries were raised to $125,000 per episode. In addition to the large Simpsons cast, many guest stars appeared in season ten, including Phil Hartman in his last appearance before his death.\n\nThe season, which won the Annie Award for ""Outstanding Achievement in an Animated Television Program"", has been cited by several critics as the beginning of the series' decline in quality. It ranked twenty-fifth in the season ratings with an average of 13.5 million viewers per episode. The tenth season DVD boxset was released in the United States and Canada on August 7, 2007. It is available in two different packagings, both featuring Bart.",t4wiOGBgoSRgofYxQvRL5WZe6Aj.jpg,The Simpsons,18
Season 11,11,1999-09-26,"The Simpsons' 11th season originally aired between September 1999 and May 2000, beginning on Sunday, September 26, 1999, with ""Beyond Blunderdome"". The showrunner for the 11th production season was Mike Scully. The season contained four hold-over episodes from the season 10 production line.",4Rq5t85B4bt8TYvmhCVhDmk7qMN.jpg,The Simpsons,18
Season 12,12,2000-11-01,"The Simpsons' 12th season began on Wednesday, November 1, 2000 with ""Treehouse of Horror XI"". The season contains three hold over episodes from the season 11 production line. The show runner for the twelfth production was Mike Scully. The season features three episodes that were produced for the eleventh season which was also run by Scully. The season won and was nominated for numerous awards including two Primetime Emmy Awards wins and an Annie Award.",oHBBoAlXX32ROwWCQ0SJrzORCAE.jpg,The Simpsons,18
Season 13,13,2001-11-06,"The Simpsons' thirteenth season originally aired on the Fox network between November 6, 2001 and May 22, 2002 and consists of 22 episodes. The show runner for the thirteenth production season was Al Jean who executive-produced 17 episodes. Mike Scully executive-produced the remaining five, which were all hold-overs that were produced for the previous season. The Simpsons is an animated series about a working-class family, which consists of Homer, Marge, Bart, Lisa, and Maggie. The show is set in the fictional city of Springfield, and lampoons American culture, society, television and many aspects of the human condition.\n\nThe season won an Annie Award for Best Animated Television Production, and was nominated for several other awards, including two Primetime Emmy Awards, three Writers Guild of America Awards, and an Environmental Media Award. The Simpsons ranked 30th in the season ratings with an average viewership of 12.4 million viewers. It was the second highest rated show on Fox after Malcolm in the Middle. The DVD boxset was released in the United States and Canada on August 24, 2010, eight years after it had completed broadcast on television.",wQTdRc2sWgAKFHS1BTHdIzVRmwU.jpg,The Simpsons,18
Season 14,14,2002-11-03,"The fourteenth season of the animated television series The Simpsons was originally broadcast on the Fox network in the United States between November 3, 2002 and May 18, 2003. The show runner for the fourteenth production season was Al Jean, who executive produced 21 of 22 episodes. The other episode, ""How I Spent My Strummer Vacation"", was run by Mike Scully. The season contains five hold-overs from the previous season's production run. The fourteenth season won two Primetime Emmy Awards, including Outstanding Animated Program, four Annie Awards and a Writers Guild of America Award. On December 6, 2011, it was released on DVD and Blu-ray in North America.",mgGrn5FiofW2bqpJC9PPcwEc84p.jpg,The Simpsons,18
Season 15,15,2003-11-02,"The Simpsons' 15th season began on Sunday, November 2, 2003, with ""Treehouse of Horror XIV"". The season contains five hold-over episodes from the season 14 production line. The most watched episode had 16.2 million viewers and the least watched had 6.2 million viewers.",gSgRvuqI4cWOLONTBl6qW2y2Cih.jpg,The Simpsons,18
Season 16,16,2004-11-07,"The Simpsons' 16th season began on Sunday, November 7, 2004 and contained 21 episodes, beginning with Treehouse of Horror XV. The season contains six hold-over episodes from the season 15 production line.",rdsBcs6VPJHnQgeLg8YinKyvnjO.jpg,The Simpsons,18
Season 17,17,2005-09-11,"The Simpsons' seventeenth season originally aired between September 2005 and May 2006, beginning on Sunday, September 11, 2005. It broke Fox's tradition of pushing its shows' season premieres back to November to accommodate the Major League Baseball games airing on the network during September and October of each year.",vfcmgPqoFmb0hOe6V0DI5qf3y83.jpg,The Simpsons,18
Season 18,18,2006-09-10,"The Simpsons' 18th season aired from September 10, 2006 to May 20, 2007. The season contained seven hold-over episodes from the season 17 production line. Al Jean served as the Showrunner, a position he has held since the thirteenth season.\n\nThe season finale, ""You Kent Always Say What You Want"", was the series' 400th episode. Additionally, the Simpsons franchise celebrated its 20th anniversary, as it has been on the air since April 1987, beginning with shorts on The Tracey Ullman Show.\n\nSeason 18 included guest appearances by Metallica, Tom Wolfe, Gore Vidal, Michael Chabon, Jonathan Franzen, Fran Drescher, The White Stripes, Kiefer Sutherland, Mary Lynn Rajskub, Richard Lewis, Phil McGraw, Elvis Stojko, Natalie Portman, Jon Lovitz, Betty White, Eric Idle, Sir Mix-a-Lot, Stephen Sondheim, Cristiano Ronaldo, Meg Ryan, Andy Dick, Peter Bogdanovich, James Patterson and others.",sFG5v9zFZL0RKb1lStwwvgIc76a.jpg,The Simpsons,18
Season 19,19,2007-09-23,"The Simpsons' nineteenth season originally aired on the Fox network between September 23, 2007 and May 18, 2008.",mbgW40YuFJL7VIyrOFAktHl7M8h.jpg,The Simpsons,18
Season 20,20,2008-09-28,"The Simpsons' twentieth season aired on Fox from September 28, 2008 to May 17, 2009. With this season, the show tied Gunsmoke as the longest running American primetime television series in terms of total number of seasons. The season was released on BD January 12, 2010, making this the first season released on BD. It was released on DVD in Region 1 on January 12, 2010, and in Region 4 on January 20, 2010. The season was only released on DVD in Region 2 in a few areas.",eAdllHJ9ZSN7vMjwzIbcVqMSV6t.jpg,The Simpsons,18
Season 21,21,2009-09-27,"The Simpsons' twenty-first season aired on Fox from September 27, 2009 to May 23, 2010. It was the first of two seasons that the show was renewed for by Fox, and also the first season of the show to air entirely in high definition.\n\nWith this season, The Simpsons established itself as the longest-running American primetime television series surpassing Gunsmoke.\n\nThe season received mainly positive reviews from critics, with many praising ""The Squirt and the Whale"", ""To Surveil with Love"" and ""The Bob Next Door"". The show moved up 16 positions in the Nielsen ratings from the previous season and received numerous award nominations, winning two - an Emmy Award for Anne Hathaway for her voicing in ""Once Upon a Time in Springfield"", and an Annie Award for ""Treehouse of Horror XX"".",vT5OgXM5rMKzzF4rrSjFxI3USCg.jpg,The Simpsons,18
Season 22,22,2010-09-26,"The Simpsons' twenty-second season began airing on Fox on September 26, 2010 and ended on May 22, 2011. The Simpsons was renewed for at least two additional seasons during the twentieth season leading up to this season. The cast is currently signed through the 25th season. On November 11, 2010, the series was renewed for a 23rd season by Fox with 22 episodes.",dfYWKwINJ5DaJHxdkHtaVJQfBZI.jpg,The Simpsons,18
Season 23,23,2011-09-25,"The Simpsons' twenty-third season began airing on Fox on September 25, 2011 and ended on May 20, 2012. The show's 500th episode, ""At Long Last Leave"", aired on February 19, 2012.",leehbIbn1loBlEndV7WibzyRtuV.jpg,The Simpsons,18
Season 24,24,2012-09-30,"The Simpsons' twenty-fourth season began airing on Fox on September 30, 2012 and concluded on May 19, 2013.",geQfditNq4d4pZXAEAnUAFtWoGL.jpg,The Simpsons,18
Season 25,25,2013-09-29,"The Simpsons' twenty-fifth season began airing on Fox on September 29, 2013.\n\nIn this season, Homer sells his Mapple stock to buy a bowling ball, Marge blames herself and KISS for Bart's rebellious streak, Lisa becomes a cheerleader for Springfield's football team, and Homer delivers a baby. Guest stars for this season will include Christiane Amanpour, Will Arnett, Stan Lee, Rachel Maddow, Elisabeth Moss, Joe Namath, Gordon Ramsay, Aaron Sorkin, Eva Longoria, Daniel Radcliffe, Kristen Wiig, Billy West, Katey Sagal, John DiMaggio, Phil LaMarr, Zach Galifianakis, Harlan Ellison, Anderson Cooper, Maurice LaMarche, and Judd Apatow. This is Al Jean's 13th consecutive season as showrunner and 15th overall. Matt Groening, James L. Brooks, Matt Selman, and John Frink serve as executive producers.",fJ9uH8sRykLxC2a5RUPmcP2JFEo.jpg,The Simpsons,18
Season 26,26,2014-09-28,"In this season, Homer and Bart attempt to solve some father/son conflicts, Marge opens a sandwich franchise, the Simpsons meet their former selves, Bart schemes to bring down his new fourth grade teacher, Homer has a mid-life crisis, and the cast of Futurama make an appearance in Springfield.",nvEHDDK3dkOKwawXiUp9YIJkVZb.jpg,The Simpsons,18
Season 27,27,2015-09-27,"The twenty-seventh season of The Simpsons began airing on September 27 2015 with the episode ""Every Man's Dreams"" it ended on May 22 2016 with the episode ""Orange is the New Yellow ( A parody of Netflix show, Orange is the New Black)""",nA66JicHMj2BecHggMSvGkeEbN5.jpg,The Simpsons,18
Season 28,28,2016-09-25,,h65SjhdaQ100fXb1JA4EbIsLwgL.jpg,The Simpsons,18
Season 29,29,2017-10-01,,s1iNPNxaqdv7a9LoRWJ4Xrrb501.jpg,The Simpsons,18
Season 30,30,2018-09-30,,sj24nG5NSTiz8kR7YstmTR3h1AQ.jpg,The Simpsons,18
Season 31,31,2019-09-29,,tAqaCYauV6TGaU4Q9ALipgFl20V.jpg,The Simpsons,18
Season 32,32,2020-09-27,,wKPSydVOIIC3OUlOj3IIDaDGYc7.jpg,The Simpsons,18
Season 1,1,2020-05-17,,n6UNHZoiYj81abwmG38HbNjflDx.jpg,Snowpiercer,19
Season 2,2,2021-01-25,"In season two, an entirely new power struggle emerges, causing a dangerous rift as people are divided between their loyalty to Layton and to Mr. Wilford, who has a new train, new technology and a game plan that keeps everyone guessing. While Layton battles Wilford for the soul of Snowpiercer, Melanie leads the charge on a shocking new discovery that could change the fate of humanity.",95xQPSqwvQDRoB3rXUn4lRyJrBW.jpg,Snowpiercer,19
Season 1,1,2002-10-03,"Deep within the Hidden Leaf Village, young ninja Naruto Uzumaki carries sealed inside him the Nine-Tailed Fox Spirit, which once almost destroyed the village. Always an outcast because of his secret, now Naruto battles alongside his teammates Sasuke and Sakura to prove to himself and everyone else that he's the greatest ninja ever. But he's got a long list of challenges to face before he gets there!",8udhGOMjuAI1FTKLHVxwBQozqtA.jpg,Naruto,20
Season 2,2,,"Before the final round of the Chunin Exam, Naruto receives some special training from the legendary Toad Sage, Jiraiya. When the battles resume, Naruto is ready, but what about Sasuke? He's about to face the one ninja no one, not even Naruto thinks he can beat. But in the midst of everything, a sinister plot is set in motion, and the Village Hidden in the Leaves finds itself under attack!",brnXJ2lUevgjXdA9Kv93ma4REfX.jpg,Naruto,20
Season 3,3,,"Naruto returns from his training journey eager to see his friend Sasuke. But Sasuke has only one thing on his mind: his quest for revenge against his older brother. His unquenchable thirst for power knows no bounds, and soon he is lured from the Leaf Village by Orochimaru's minions, the Sound Four. Determined to get him back, Shikamaru and Naruto put together a team of the top genin in the village to go after him, and the chase begins!",6boXSAWbNNRgD9Fus3qMNwC4Rgb.jpg,Naruto,20
Season 4,4,,"In the Village Hidden in the Leaves, there are few things Naruto and Choji love more than a steaming bowl of Ichiraku ramen, and when the daughter of the owner is kidnapped, they're on the case. Then, missions for the Leaf ninja lead them to the Land of Bears after a fallen meteorite and the Land of Greens to protect a princess. When an evil ninja who's after the princess gets in their way, it's Naruto's life on the line!",9KOTGjFmWRkG5o40wQzQLwoaDFM.jpg,Naruto,20
